Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	32	16	|	1	-1	squared_l2
0.26 %	0.306 %	0.3481 %	0.31736 %	|	0.48 %	0.52 %	0.487 %	0.52 %	0.499 %	0.4359 %	16998.648643493652
250	32	16	|	2	-1	squared_l2
0.3 %	0.395 %	0.4427 %	0.45092 %	|	0.65 %	0.73 %	0.682 %	0.73 %	0.705 %	0.6276 %	26271.438598632812
250	32	16	|	4	-1	squared_l2
0.32 %	0.438 %	0.5023 %	0.55102 %	|	0.77 %	0.9 %	0.831 %	0.9 %	0.876 %	0.7951 %	46882.41481781006
250	32	16	|	8	-1	squared_l2
0.36 %	0.454 %	0.5278 %	0.6044 %	|	0.8 %	0.96 %	0.885 %	0.96 %	0.95 %	0.9023 %	84550.1184463501
250	32	16	|	16	-1	squared_l2
0.37 %	0.457 %	0.5379 %	0.62581 %	|	0.81 %	0.99 %	0.91 %	0.99 %	0.987 %	0.9578 %	157652.23503112793
250	32	16	|	32	-1	squared_l2
0.37 %	0.456 %	0.5399 %	0.6317 %	|	0.81 %	1.0 %	0.914 %	1.0 %	0.997 %	0.9722 %	300993.0372238159
250	32	16	|	64	-1	squared_l2
0.37 %	0.456 %	0.5401 %	0.63256 %	|	0.81 %	1.0 %	0.915 %	1.0 %	1.0 %	0.975 %	575522.8757858276
250	32	16	|	128	-1	squared_l2
0.37 %	0.456 %	0.5401 %	0.63255 %	|	0.81 %	1.0 %	0.915 %	1.0 %	1.0 %	0.975 %	1126614.8805618286
250	64	16	|	1	-1	squared_l2
0.37 %	0.398 %	0.3983 %	0.32966 %	|	0.51 %	0.52 %	0.498 %	0.52 %	0.499 %	0.4359 %	25645.089149475098
250	64	16	|	2	-1	squared_l2
0.5 %	0.53 %	0.5377 %	0.49106 %	|	0.71 %	0.73 %	0.704 %	0.73 %	0.705 %	0.6282 %	44589.35260772705
250	64	16	|	4	-1	squared_l2
0.57 %	0.605 %	0.6369 %	0.62967 %	|	0.88 %	0.9 %	0.875 %	0.9 %	0.876 %	0.7997 %	81353.97434234619
250	64	16	|	8	-1	squared_l2
0.62 %	0.63 %	0.6836 %	0.71692 %	|	0.94 %	0.96 %	0.948 %	0.96 %	0.95 %	0.9138 %	153121.06609344482
250	64	16	|	16	-1	squared_l2
0.62 %	0.632 %	0.7048 %	0.75599 %	|	0.96 %	0.99 %	0.985 %	0.99 %	0.987 %	0.9777 %	292847.06115722656
250	64	16	|	32	-1	squared_l2
0.62 %	0.633 %	0.7099 %	0.76896 %	|	0.97 %	1.0 %	0.995 %	1.0 %	0.997 %	0.9964 %	570784.5449447632
250	64	16	|	64	-1	squared_l2
0.62 %	0.632 %	0.711 %	0.77108 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9998 %	1118402.2665023804
250	64	16	|	128	-1	squared_l2
0.62 %	0.632 %	0.711 %	0.77123 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9998 %	2140662.2409820557
250	128	16	|	1	-1	squared_l2
0.44 %	0.47 %	0.428 %	0.33554 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	42599.77340698242
250	128	16	|	2	-1	squared_l2
0.56 %	0.646 %	0.6096 %	0.5106 %	|	0.73 %	0.73 %	0.705 %	0.73 %	0.705 %	0.6282 %	79251.62315368652
250	128	16	|	4	-1	squared_l2
0.69 %	0.787 %	0.7519 %	0.68254 %	|	0.9 %	0.9 %	0.876 %	0.9 %	0.876 %	0.7997 %	149102.37789154053
250	128	16	|	8	-1	squared_l2
0.73 %	0.826 %	0.8291 %	0.81133 %	|	0.96 %	0.96 %	0.95 %	0.96 %	0.95 %	0.9138 %	290143.63288879395
250	128	16	|	16	-1	squared_l2
0.75 %	0.838 %	0.8652 %	0.87687 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	569244.0509796143
250	128	16	|	32	-1	squared_l2
0.76 %	0.843 %	0.8732 %	0.89915 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	1095078.6113739014
250	128	16	|	64	-1	squared_l2
0.76 %	0.843 %	0.8748 %	0.90271 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2119187.9272460938
250	128	16	|	128	-1	squared_l2
0.76 %	0.843 %	0.8747 %	0.90295 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4240571.045875549
250	16	256	|	1	-1	squared_l2
0.35 %	0.362 %	0.3827 %	0.32646 %	|	0.49 %	0.52 %	0.496 %	0.52 %	0.499 %	0.4359 %	8252.692222595215
250	16	256	|	2	-1	squared_l2
0.44 %	0.466 %	0.5019 %	0.47784 %	|	0.68 %	0.73 %	0.699 %	0.73 %	0.705 %	0.6281 %	13669.848442077637
250	16	256	|	4	-1	squared_l2
0.49 %	0.531 %	0.5854 %	0.60056 %	|	0.83 %	0.9 %	0.866 %	0.9 %	0.876 %	0.7994 %	19903.564453125
250	16	256	|	8	-1	squared_l2
0.52 %	0.548 %	0.6237 %	0.6719 %	|	0.88 %	0.96 %	0.934 %	0.96 %	0.95 %	0.9131 %	31808.853149414062
250	16	256	|	16	-1	squared_l2
0.52 %	0.552 %	0.6382 %	0.70293 %	|	0.91 %	0.99 %	0.966 %	0.99 %	0.987 %	0.9758 %	54323.98319244385
250	16	256	|	32	-1	squared_l2
0.52 %	0.553 %	0.6416 %	0.71236 %	|	0.91 %	1.0 %	0.975 %	1.0 %	0.997 %	0.9938 %	98372.98393249512
250	16	256	|	64	-1	squared_l2
0.52 %	0.553 %	0.6424 %	0.71367 %	|	0.91 %	1.0 %	0.977 %	1.0 %	1.0 %	0.997 %	184161.376953125
250	16	256	|	128	-1	squared_l2
0.52 %	0.553 %	0.6424 %	0.71374 %	|	0.91 %	1.0 %	0.977 %	1.0 %	1.0 %	0.997 %	353210.33000946045
250	32	256	|	1	-1	squared_l2
0.42 %	0.427 %	0.4147 %	0.33333 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	11168.956756591797
250	32	256	|	2	-1	squared_l2
0.56 %	0.567 %	0.5707 %	0.50287 %	|	0.73 %	0.73 %	0.705 %	0.73 %	0.705 %	0.6282 %	19579.577445983887
250	32	256	|	4	-1	squared_l2
