Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
8000	0.2	24	|	1	-1	squared_l2
0.02 %	0.01 %	0.0161 %	0.01684 %	|	0.02 %	0.03 %	0.019 %	0.03 %	0.021 %	0.02 %	48002.24304199219
8000	0.2	24	|	16	-1	squared_l2
0.02 %	0.021 %	0.0246 %	0.03368 %	|	0.03 %	0.04 %	0.038 %	0.05 %	0.046 %	0.0404 %	88545.32241821289
8000	0.2	24	|	32	-1	squared_l2
0.02 %	0.02 %	0.0251 %	0.03446 %	|	0.02 %	0.04 %	0.04 %	0.05 %	0.049 %	0.0423 %	117239.95208740234
8000	0.2	24	|	64	-1	squared_l2
0.02 %	0.02 %	0.0247 %	0.03438 %	|	0.02 %	0.04 %	0.04 %	0.05 %	0.047 %	0.0422 %	171232.7003479004
8000	0.2	24	|	128	-1	squared_l2
0.02 %	0.02 %	0.0243 %	0.03426 %	|	0.02 %	0.04 %	0.038 %	0.05 %	0.047 %	0.0421 %	265683.650970459
8000	0.2	24	|	256	-1	squared_l2
0.02 %	0.019 %	0.0245 %	0.03404 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	446503.1623840332
8000	0.2	24	|	320	-1	squared_l2
0.02 %	0.019 %	0.0245 %	0.034 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	534409.9998474121
8000	0.2	24	|	384	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03397 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	618932.2471618652
8000	0.2	24	|	448	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03396 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	706444.263458252
8000	0.2	24	|	512	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03393 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	789883.1367492676
8000	0.2	24	|	576	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03394 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	878444.1947937012
8000	0.2	24	|	640	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03392 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	963098.5260009766
8000	0.2	24	|	704	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03393 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	1049109.4589233398
8000	0.2	24	|	768	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.03391 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0421 %	1133679.8667907715
8000	0.2	24	|	1024	-1	squared_l2
0.02 %	0.019 %	0.0244 %	0.0339 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0421 %	1471247.1961975098
8000	0.2	48	|	1	-1	squared_l2
0.03 %	0.021 %	0.0201 %	0.01764 %	|	0.03 %	0.03 %	0.021 %	0.03 %	0.021 %	0.0205 %	54308.414459228516
8000	0.2	48	|	16	-1	squared_l2
0.03 %	0.044 %	0.0431 %	0.04373 %	|	0.05 %	0.05 %	0.046 %	0.05 %	0.046 %	0.0446 %	115369.31991577148
8000	0.2	48	|	32	-1	squared_l2
0.02 %	0.047 %	0.0456 %	0.0469 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0476 %	165857.31506347656
8000	0.2	48	|	64	-1	squared_l2
0.02 %	0.047 %	0.0463 %	0.04838 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0485 %	257850.64697265625
8000	0.2	48	|	128	-1	squared_l2
0.02 %	0.047 %	0.0467 %	0.04912 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	431985.37826538086
8000	0.2	48	|	256	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04942 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	768926.1436462402
8000	0.2	48	|	320	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04944 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	934757.7095031738
8000	0.2	48	|	384	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04945 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1099117.7558898926
8000	0.2	48	|	448	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04945 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1262430.6678771973
8000	0.2	48	|	512	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04947 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1426102.638244629
8000	0.2	48	|	576	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04948 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1592134.952545166
8000	0.2	48	|	640	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04948 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1754859.447479248
8000	0.2	48	|	704	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04949 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1915895.4620361328
8000	0.2	48	|	768	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04949 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	2080368.5188293457
8000	0.2	48	|	1024	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04949 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	2737535.9535217285
8000	0.2	96	|	1	-1	squared_l2
0.03 %	0.021 %	0.0205 %	0.01764 %	|	0.03 %	0.03 %	0.021 %	0.03 %	0.021 %	0.0205 %	53447.24655151367
8000	0.2	96	|	16	-1	squared_l2
0.05 %	0.046 %	0.0446 %	0.04404 %	|	0.05 %	0.05 %	0.046 %	0.05 %	0.046 %	0.0446 %	146585.46447753906
8000	0.2	96	|	32	-1	squared_l2
0.05 %	0.049 %	0.0476 %	0.04733 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0476 %	230703.35388183594
8000	0.2	96	|	64	-1	squared_l2
0.05 %	0.049 %	0.0485 %	0.0489 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0485 %	393389.7018432617
8000	0.2	96	|	128	-1	squared_l2
0.05 %	0.049 %	0.0489 %	0.04968 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	702895.1644897461
8000	0.2	96	|	256	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05001 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1303842.544555664
8000	0.2	96	|	320	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05003 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1600758.0757141113
8000	0.2	96	|	384	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1896150.1121520996
8000	0.2	96	|	448	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	2188407.4211120605
8000	0.2	96	|	512	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05006 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	2481017.589569092
8000	0.2	96	|	576	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05007 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	2776948.928833008
8000	0.2	96	|	640	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05007 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	3070253.849029541
8000	0.2	96	|	704	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	3360709.1903686523
8000	0.2	96	|	768	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	3650974.2736816406
8000	0.2	96	|	1024	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	4812955.379486084
