Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	96	|	1	-1	squared_l2
0.4 %	0.482 %	0.4364 %	0.35862 %	|	0.56 %	0.56 %	0.52 %	0.56 %	0.52 %	0.4493 %	10.404586791992188
250	0.2	96	|	16	-1	squared_l2
0.73 %	0.839 %	0.8705 %	0.87822 %	|	1.0 %	1.0 %	0.988 %	1.0 %	0.988 %	0.9666 %	54.8858642578125
250	0.2	96	|	32	-1	squared_l2
0.73 %	0.847 %	0.8848 %	0.90552 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9902 %	62.48068809509277
250	0.2	96	|	64	-1	squared_l2
0.73 %	0.847 %	0.8888 %	0.91496 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9986 %	104.70294952392578
250	0.2	96	|	128	-1	squared_l2
0.73 %	0.846 %	0.8894 %	0.91743 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	189.66436386108398
250	0.2	48	|	1	-1	squared_l2
0.31 %	0.382 %	0.3823 %	0.3446 %	|	0.51 %	0.56 %	0.519 %	0.56 %	0.52 %	0.4493 %	9.263753890991211
250	0.2	48	|	16	-1	squared_l2
0.46 %	0.583 %	0.6534 %	0.72849 %	|	0.89 %	1.0 %	0.979 %	1.0 %	0.988 %	0.9652 %	27.92811393737793
250	0.2	48	|	32	-1	squared_l2
0.46 %	0.587 %	0.6595 %	0.74227 %	|	0.89 %	1.0 %	0.988 %	1.0 %	0.997 %	0.9884 %	39.72125053405762
250	0.2	48	|	64	-1	squared_l2
0.46 %	0.587 %	0.6612 %	0.74693 %	|	0.89 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9968 %	62.69121170043945
250	0.2	48	|	128	-1	squared_l2
0.46 %	0.587 %	0.6616 %	0.74789 %	|	0.89 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9981 %	109.86137390136719
250	0.2	24	|	1	-1	squared_l2
0.2 %	0.2 %	0.2648 %	0.30387 %	|	0.39 %	0.52 %	0.439 %	0.56 %	0.52 %	0.4411 %	8.950233459472656
250	0.2	24	|	16	-1	squared_l2
0.23 %	0.263 %	0.3776 %	0.50591 %	|	0.57 %	0.89 %	0.706 %	0.98 %	0.966 %	0.8627 %	21.75450325012207
250	0.2	24	|	32	-1	squared_l2
0.23 %	0.261 %	0.3775 %	0.5073 %	|	0.56 %	0.89 %	0.709 %	0.98 %	0.973 %	0.8724 %	27.791261672973633
250	0.2	24	|	64	-1	squared_l2
0.23 %	0.261 %	0.3781 %	0.50579 %	|	0.56 %	0.89 %	0.709 %	0.98 %	0.975 %	0.8739 %	38.20061683654785
250	0.2	24	|	128	-1	squared_l2
0.23 %	0.261 %	0.3779 %	0.50498 %	|	0.56 %	0.89 %	0.708 %	0.98 %	0.974 %	0.873 %	60.05263328552246
