Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
4000	0.2	100	|	1	-1	dot_product
0.21 %	0.256 %	0.2526 %	0.13667 %	|	0.27 %	0.27 %	0.274 %	0.27 %	0.274 %	0.2528 %	2034.6879959106445
4000	0.2	100	|	2	-1	dot_product
0.32 %	0.356 %	0.3463 %	0.20846 %	|	0.39 %	0.39 %	0.387 %	0.39 %	0.387 %	0.3468 %	1388.3590698242188
4000	0.2	100	|	4	-1	dot_product
0.38 %	0.44 %	0.4549 %	0.31608 %	|	0.49 %	0.49 %	0.482 %	0.49 %	0.482 %	0.4573 %	1308.3696365356445
4000	0.2	100	|	8	-1	dot_product
0.42 %	0.507 %	0.5496 %	0.43862 %	|	0.58 %	0.58 %	0.566 %	0.58 %	0.566 %	0.5573 %	1425.313949584961
4000	0.2	100	|	16	-1	dot_product
0.44 %	0.581 %	0.6459 %	0.58033 %	|	0.62 %	0.62 %	0.665 %	0.62 %	0.665 %	0.6605 %	1520.085334777832
4000	0.2	100	|	25	-1	dot_product
0.46 %	0.606 %	0.6811 %	0.65205 %	|	0.66 %	0.66 %	0.699 %	0.66 %	0.7 %	0.7053 %	1633.0480575561523
4000	0.2	100	|	30	-1	dot_product
0.47 %	0.616 %	0.6949 %	0.67717 %	|	0.67 %	0.67 %	0.711 %	0.67 %	0.712 %	0.7215 %	1689.8870468139648
4000	0.2	100	|	35	-1	dot_product
0.48 %	0.621 %	0.7055 %	0.70096 %	|	0.69 %	0.69 %	0.716 %	0.69 %	0.717 %	0.7336 %	1744.246482849121
4000	0.2	100	|	40	-1	dot_product
0.49 %	0.627 %	0.7115 %	0.71473 %	|	0.7 %	0.7 %	0.725 %	0.7 %	0.726 %	0.7418 %	1801.4192581176758
4000	0.2	100	|	45	-1	dot_product
0.5 %	0.636 %	0.7178 %	0.72947 %	|	0.71 %	0.71 %	0.736 %	0.71 %	0.737 %	0.7499 %	1854.4673919677734
4000	0.2	100	|	50	-1	dot_product
0.51 %	0.645 %	0.7232 %	0.73939 %	|	0.72 %	0.72 %	0.747 %	0.72 %	0.748 %	0.7559 %	1915.3118133544922
4000	0.2	100	|	55	-1	dot_product
0.51 %	0.645 %	0.7257 %	0.74657 %	|	0.72 %	0.72 %	0.748 %	0.72 %	0.749 %	0.76 %	1965.165138244629
4000	0.2	100	|	60	-1	dot_product
0.51 %	0.654 %	0.7303 %	0.75306 %	|	0.73 %	0.73 %	0.76 %	0.73 %	0.761 %	0.7655 %	2040.5054092407227
4000	0.2	100	|	65	-1	dot_product
0.51 %	0.657 %	0.7355 %	0.7605 %	|	0.73 %	0.73 %	0.764 %	0.73 %	0.765 %	0.772 %	2096.4622497558594
4000	0.2	100	|	75	-1	dot_product
0.51 %	0.671 %	0.743 %	0.77106 %	|	0.73 %	0.73 %	0.78 %	0.73 %	0.781 %	0.7819 %	2214.02645111084
4000	0.2	100	|	90	-1	dot_product
0.52 %	0.679 %	0.7509 %	0.78228 %	|	0.75 %	0.76 %	0.792 %	0.76 %	0.793 %	0.7926 %	2388.596534729004
4000	0.2	100	|	110	-1	dot_product
0.52 %	0.689 %	0.7602 %	0.79231 %	|	0.77 %	0.78 %	0.803 %	0.78 %	0.804 %	0.8035 %	2631.5927505493164
4000	0.2	100	|	130	-1	dot_product
0.54 %	0.7 %	0.7691 %	0.80007 %	|	0.79 %	0.8 %	0.816 %	0.8 %	0.817 %	0.8134 %	2882.9097747802734
4000	0.2	100	|	150	-1	dot_product
0.54 %	0.707 %	0.7774 %	0.80754 %	|	0.79 %	0.8 %	0.824 %	0.8 %	0.825 %	0.8228 %	3146.958351135254
4000	0.2	100	|	170	-1	dot_product
0.54 %	0.71 %	0.781 %	0.81229 %	|	0.79 %	0.8 %	0.829 %	0.8 %	0.83 %	0.8271 %	3405.022621154785
4000	0.2	100	|	200	-1	dot_product
0.54 %	0.721 %	0.7867 %	0.81807 %	|	0.81 %	0.82 %	0.845 %	0.82 %	0.846 %	0.8357 %	3821.4921951293945
4000	0.2	100	|	220	-1	dot_product
0.55 %	0.724 %	0.789 %	0.82069 %	|	0.82 %	0.83 %	0.848 %	0.83 %	0.849 %	0.8396 %	4092.1449661254883
4000	0.2	100	|	250	-1	dot_product
0.56 %	0.725 %	0.7928 %	0.82477 %	|	0.83 %	0.84 %	0.854 %	0.84 %	0.856 %	0.8449 %	4505.705833435059
4000	0.2	100	|	310	-1	dot_product
0.57 %	0.735 %	0.8006 %	0.83225 %	|	0.86 %	0.87 %	0.865 %	0.87 %	0.867 %	0.8549 %	5345.10612487793
4000	0.2	100	|	400	-1	dot_product
0.58 %	0.741 %	0.8085 %	0.8399 %	|	0.87 %	0.88 %	0.876 %	0.88 %	0.878 %	0.8653 %	6637.763977050781
4000	0.2	100	|	500	-1	dot_product
0.6 %	0.752 %	0.8178 %	0.84651 %	|	0.9 %	0.91 %	0.891 %	0.91 %	0.893 %	0.8763 %	8065.080642700195
4000	0.2	100	|	800	-1	dot_product
0.62 %	0.768 %	0.8363 %	0.8612 %	|	0.92 %	0.93 %	0.92 %	0.93 %	0.922 %	0.9018 %	12497.997283935547
4000	0.2	100	|	1000	-1	dot_product
0.63 %	0.776 %	0.8459 %	0.86819 %	|	0.95 %	0.96 %	0.933 %	0.96 %	0.936 %	0.9141 %	15287.637710571289
4000	0.2	100	|	1250	-1	dot_product
0.63 %	0.786 %	0.8587 %	0.87593 %	|	0.95 %	0.96 %	0.947 %	0.96 %	0.951 %	0.931 %	18857.955932617188
4000	0.2	100	|	1500	-1	dot_product
0.63 %	0.79 %	0.8637 %	0.88219 %	|	0.96 %	0.97 %	0.959 %	0.97 %	0.963 %	0.9395 %	22385.644912719727
4000	0.2	100	|	1750	-1	dot_product
0.63 %	0.795 %	0.8702 %	0.88727 %	|	0.96 %	0.97 %	0.966 %	0.97 %	0.97 %	0.9489 %	25875.449180603027
4000	0.2	100	|	1900	-1	dot_product
0.63 %	0.796 %	0.872 %	0.88972 %	|	0.96 %	0.97 %	0.968 %	0.97 %	0.972 %	0.9521 %	27995.03803253174
4000	0.2	100	|	2000	-1	dot_product
0.63 %	0.796 %	0.8742 %	0.89172 %	|	0.96 %	0.98 %	0.97 %	0.98 %	0.974 %	0.9556 %	29378.843307495117
4000	0.2	100	|	2048	-1	dot_product
0.63 %	0.796 %	0.8755 %	0.89273 %	|	0.96 %	0.98 %	0.975 %	0.98 %	0.979 %	0.9575 %	30050.70686340332
4000	0.2	50	|	1	-1	dot_product
0.15 %	0.223 %	0.2463 %	0.13646 %	|	0.24 %	0.25 %	0.273 %	0.25 %	0.274 %	0.2508 %	989.1986846923828
4000	0.2	50	|	2	-1	dot_product
0.21 %	0.294 %	0.3373 %	0.20815 %	|	0.33 %	0.34 %	0.382 %	0.35 %	0.384 %	0.3476 %	1052.6180267333984
4000	0.2	50	|	4	-1	dot_product
0.26 %	0.35 %	0.4278 %	0.31624 %	|	0.46 %	0.47 %	0.477 %	0.48 %	0.48 %	0.4579 %	1217.5321578979492
4000	0.2	50	|	8	-1	dot_product
0.26 %	0.399 %	0.5001 %	0.43747 %	|	0.53 %	0.57 %	0.562 %	0.58 %	0.567 %	0.557 %	1362.2045516967773
4000	0.2	50	|	16	-1	dot_product
0.25 %	0.443 %	0.5673 %	0.5654 %	|	0.55 %	0.61 %	0.655 %	0.62 %	0.665 %	0.6606 %	1473.832130432129
4000	0.2	50	|	25	-1	dot_product
0.27 %	0.452 %	0.5887 %	0.62024 %	|	0.58 %	0.65 %	0.688 %	0.66 %	0.7 %	0.7059 %	1555.1328659057617
4000	0.2	50	|	30	-1	dot_product
0.28 %	0.453 %	0.596 %	0.6373 %	|	0.59 %	0.66 %	0.698 %	0.67 %	0.711 %	0.7214 %	1600.2893447875977
4000	0.2	50	|	35	-1	dot_product
0.28 %	0.455 %	0.6017 %	0.65272 %	|	0.6 %	0.67 %	0.704 %	0.68 %	0.717 %	0.7328 %	1633.2387924194336
4000	0.2	50	|	40	-1	dot_product
0.28 %	0.457 %	0.6048 %	0.6616 %	|	0.6 %	0.69 %	0.711 %	0.7 %	0.726 %	0.7406 %	1683.0921173095703
4000	0.2	50	|	45	-1	dot_product
0.28 %	0.462 %	0.6096 %	0.67121 %	|	0.61 %	0.7 %	0.723 %	0.71 %	0.738 %	0.7496 %	1733.4699630737305
4000	0.2	50	|	50	-1	dot_product
