Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
8000	0.2	32	|	1	-1	squared_l2
0.01 %	0.015 %	0.0205 %	0.01702 %	|	0.01 %	0.01 %	0.017 %	0.01 %	0.018 %	0.0213 %	58439.25476074219
8000	0.2	32	|	16	-1	squared_l2
0.02 %	0.033 %	0.0381 %	0.04086 %	|	0.03 %	0.03 %	0.04 %	0.03 %	0.041 %	0.0425 %	104985.23712158203
8000	0.2	32	|	32	-1	squared_l2
0.02 %	0.035 %	0.0388 %	0.04366 %	|	0.03 %	0.04 %	0.043 %	0.04 %	0.044 %	0.044 %	138610.83984375
8000	0.2	32	|	64	-1	squared_l2
0.02 %	0.037 %	0.0399 %	0.04534 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0455 %	206695.0798034668
8000	0.2	32	|	128	-1	squared_l2
0.02 %	0.037 %	0.0401 %	0.04582 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.046 %	329393.3868408203
8000	0.2	32	|	256	-1	squared_l2
0.02 %	0.037 %	0.0401 %	0.04607 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0464 %	563987.7319335938
8000	0.2	32	|	320	-1	squared_l2
0.02 %	0.036 %	0.0401 %	0.04613 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0464 %	680858.1352233887
8000	0.2	32	|	384	-1	squared_l2
0.02 %	0.036 %	0.0401 %	0.04615 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0465 %	796363.8305664062
8000	0.2	32	|	448	-1	squared_l2
0.02 %	0.036 %	0.0401 %	0.04616 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0465 %	912345.8862304688
8000	0.2	32	|	512	-1	squared_l2
0.02 %	0.036 %	0.0401 %	0.04618 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0465 %	1023094.654083252
8000	0.2	32	|	576	-1	squared_l2
