Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
4000	0.2	128	|	1	-1	squared_l2
0.26 %	0.239 %	0.1526 %	0.08538 %	|	0.29 %	0.29 %	0.241 %	0.29 %	0.241 %	0.1527 %	1346.8503952026367
4000	0.2	128	|	2	-1	squared_l2
0.39 %	0.355 %	0.2317 %	0.12995 %	|	0.44 %	0.44 %	0.364 %	0.44 %	0.364 %	0.2318 %	1474.7858047485352
4000	0.2	128	|	4	-1	squared_l2
0.49 %	0.463 %	0.3324 %	0.19825 %	|	0.55 %	0.55 %	0.479 %	0.55 %	0.479 %	0.3333 %	1722.8364944458008
4000	0.2	128	|	8	-1	squared_l2
0.58 %	0.567 %	0.4648 %	0.30983 %	|	0.7 %	0.7 %	0.603 %	0.7 %	0.603 %	0.471 %	2045.8698272705078
4000	0.2	128	|	16	-1	squared_l2
0.65 %	0.684 %	0.6207 %	0.47026 %	|	0.83 %	0.83 %	0.763 %	0.83 %	0.763 %	0.6429 %	2403.6169052124023
4000	0.2	128	|	25	-1	squared_l2
0.7 %	0.745 %	0.7121 %	0.57856 %	|	0.91 %	0.91 %	0.847 %	0.91 %	0.847 %	0.7487 %	2704.000473022461
4000	0.2	128	|	30	-1	squared_l2
0.72 %	0.765 %	0.7401 %	0.62538 %	|	0.94 %	0.94 %	0.874 %	0.94 %	0.874 %	0.7842 %	2873.3015060424805
4000	0.2	128	|	35	-1	squared_l2
0.74 %	0.776 %	0.7609 %	0.65767 %	|	0.97 %	0.97 %	0.896 %	0.97 %	0.896 %	0.8109 %	3020.620346069336
4000	0.2	128	|	40	-1	squared_l2
0.74 %	0.79 %	0.7811 %	0.687 %	|	0.97 %	0.97 %	0.919 %	0.97 %	0.919 %	0.8384 %	3171.0147857666016
4000	0.2	128	|	45	-1	squared_l2
0.75 %	0.798 %	0.7941 %	0.71062 %	|	0.98 %	0.98 %	0.933 %	0.98 %	0.933 %	0.8567 %	3307.4378967285156
4000	0.2	128	|	50	-1	squared_l2
