Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
7000	96	256	|	1	-1	squared_l2
0.0265 %	0.0244 %	0.021366 %	0.0185508 %	|	0.0266 %	0.0268 %	0.02444 %	0.0269 %	0.02461 %	0.021554 %	26593.961715698242
7000	96	256	|	16	-1	squared_l2
0.0484 %	0.04848 %	0.046425 %	0.0447749 %	|	0.0485 %	0.0487 %	0.04852 %	0.0488 %	0.04869 %	0.046612 %	225258.95595550537
7000	96	256	|	32	-1	squared_l2
0.0494 %	0.05017 %	0.048527 %	0.0476693 %	|	0.0495 %	0.0497 %	0.05021 %	0.0498 %	0.05038 %	0.048713 %	422255.4683685303
7000	96	256	|	64	-1	squared_l2
0.0501 %	0.05094 %	0.049502 %	0.0491759 %	|	0.0502 %	0.0504 %	0.05098 %	0.0505 %	0.05115 %	0.049692 %	796148.3812332153
7000	96	256	|	128	-1	squared_l2
0.0504 %	0.05116 %	0.049896 %	0.049854 %	|	0.0505 %	0.0507 %	0.0512 %	0.0508 %	0.05137 %	0.050087 %	1511282.2723388672
7000	96	256	|	256	-1	squared_l2
0.0504 %	0.0513 %	0.05006 %	0.0501035 %	|	0.0505 %	0.0507 %	0.05134 %	0.0508 %	0.05151 %	0.050245 %	2877483.0961227417
7000	96	256	|	320	-1	squared_l2
0.0504 %	0.0513 %	0.050079 %	0.0501412 %	|	0.0505 %	0.0507 %	0.05134 %	0.0508 %	0.05151 %	0.050266 %	3471148.943901062
7000	96	256	|	384	-1	squared_l2
0.0504 %	0.05131 %	0.050093 %	0.0501597 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050277 %	4114370.5463409424
7000	96	256	|	448	-1	squared_l2
0.0504 %	0.05131 %	0.0501 %	0.0501722 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050284 %	4719155.807495117
7000	96	256	|	512	-1	squared_l2
0.0504 %	0.05131 %	0.050101 %	0.0501792 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050285 %	5341463.599205017
7000	96	256	|	576	-1	squared_l2
0.0504 %	0.05131 %	0.050103 %	0.0501842 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050287 %	5917242.093086243
7000	96	256	|	640	-1	squared_l2
0.0504 %	0.05131 %	0.050104 %	0.0501865 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050288 %	6586156.330108643
7000	96	256	|	704	-1	squared_l2
0.0504 %	0.05131 %	0.050104 %	0.0501888 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050288 %	7185299.048423767
7000	96	256	|	768	-1	squared_l2
0.0504 %	0.05131 %	0.050104 %	0.050191 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.050288 %	7813166.093826294
7000	96	256	|	1024	-1	squared_l2
0.0504 %	0.05131 %	0.050106 %	0.0501943 %	|	0.0505 %	0.0507 %	0.05136 %	0.0508 %	0.05152 %	0.05029 %	10216876.077651978
7000	48	256	|	1	-1	squared_l2
