Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
7000	128	256	|	1	-1	squared_l2
0.022 %	0.0213 %	0.019044 %	0.0161302 %	|	0.022 %	0.022 %	0.0213 %	0.022 %	0.0213 %	0.019044 %	35120.930671691895
7000	128	256	|	16	-1	squared_l2
0.0471 %	0.04662 %	0.045056 %	0.0430822 %	|	0.0473 %	0.0473 %	0.04662 %	0.0473 %	0.04662 %	0.045056 %	302948.88973236084
7000	128	256	|	32	-1	squared_l2
0.0492 %	0.04877 %	0.047766 %	0.0467109 %	|	0.0495 %	0.0495 %	0.04877 %	0.0495 %	0.04877 %	0.047766 %	566922.6408004761
7000	128	256	|	64	-1	squared_l2
0.0494 %	0.04966 %	0.049102 %	0.0487836 %	|	0.0497 %	0.0497 %	0.04966 %	0.0497 %	0.04966 %	0.049102 %	1065503.7593841553
7000	128	256	|	128	-1	squared_l2
0.0495 %	0.04986 %	0.04962 %	0.0497305 %	|	0.0498 %	0.0498 %	0.04986 %	0.0498 %	0.04986 %	0.04962 %	2029229.8603057861
7000	128	256	|	256	-1	squared_l2
0.0495 %	0.04993 %	0.049759 %	0.0500455 %	|	0.0498 %	0.0498 %	0.04993 %	0.0498 %	0.04993 %	0.049759 %	3870646.300315857
7000	128	256	|	320	-1	squared_l2
0.0495 %	0.04995 %	0.049777 %	0.0500834 %	|	0.0498 %	0.0498 %	0.04995 %	0.0498 %	0.04995 %	0.049777 %	4750222.072601318
7000	128	256	|	384	-1	squared_l2
0.0495 %	0.04997 %	0.049787 %	0.0501044 %	|	0.0498 %	0.0498 %	0.04997 %	0.0498 %	0.04997 %	0.049787 %	5645905.499458313
7000	128	256	|	448	-1	squared_l2
0.0495 %	0.04998 %	0.04979 %	0.0501171 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.04979 %	6489529.957771301
7000	128	256	|	512	-1	squared_l2
0.0495 %	0.04998 %	0.049792 %	0.0501245 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049792 %	7392789.978981018
7000	128	256	|	576	-1	squared_l2
