Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Reorder	Metric
50	|	100	-1	dot
0.1023 %	0.06012 %	0.030378 %	0.0114086 %	1238.6996746063232
50	|	200	-1	dot
0.139 %	0.08534 %	0.044373 %	0.0174192 %	1579.9825191497803
50	|	400	-1	dot
0.1927 %	0.12318 %	0.066994 %	0.0280142 %	2316.185474395752
50	|	1000	-1	dot
0.2975 %	0.20068 %	0.117667 %	0.0542801 %	4063.793420791626
50	|	2000	-1	dot
0.3931 %	0.27902 %	0.174052 %	0.087872 %	6223.1764793396
50	|	4000	-1	dot
0.5015 %	0.37678 %	0.251247 %	0.138563 %	10484.220266342163
50	|	10000	-1	dot
0.6606 %	0.53359 %	0.388318 %	0.2405465 %	20882.78102874756
50	|	20000	-1	dot
0.7736 %	0.66232 %	0.516962 %	0.3502166 %	36980.93247413635
50	|	40000	-1	dot
0.8725 %	0.78722 %	0.657992 %	0.4877748 %	66107.74850845337
50	|	100000	-1	dot
0.9588 %	0.91307 %	0.832977 %	0.6955601 %	149843.69015693665
50	|	200000	-1	dot
0.9885 %	0.96951 %	0.928946 %	0.8407074 %	272279.49047088623
50	|	400000	-1	dot
0.9977 %	0.99352 %	0.979876 %	0.9413926 %	503817.92402267456
100	|	100	-1	dot
0.1247 %	0.06968 %	0.033861 %	0.012482 %	85255.88417053223
100	|	200	-1	dot
0.1671 %	0.09839 %	0.04955 %	0.0190407 %	2511.375904083252
100	|	400	-1	dot
0.226 %	0.14229 %	0.075612 %	0.0308597 %	3194.8013305664062
100	|	1000	-1	dot
0.3382 %	0.22785 %	0.132383 %	0.0600421 %	4959.952116012573
100	|	2000	-1	dot
0.443 %	0.31313 %	0.195852 %	0.0974311 %	7020.165920257568
100	|	4000	-1	dot
0.5555 %	0.41771 %	0.280463 %	0.153413 %	10877.06708908081
100	|	10000	-1	dot
0.7095 %	0.57847 %	0.427042 %	0.2650622 %	21492.640733718872
100	|	20000	-1	dot
0.8153 %	0.70713 %	0.561336 %	0.3824982 %	37957.96823501587
100	|	40000	-1	dot
0.8996 %	0.82264 %	0.702077 %	0.526296 %	67259.6914768219
100	|	100000	-1	dot
0.9742 %	0.93628 %	0.866419 %	0.7334528 %	147787.71710395813
100	|	200000	-1	dot
0.9936 %	0.98019 %	0.94832 %	0.868853 %	258707.7145576477
100	|	400000	-1	dot
0.9992 %	0.99635 %	0.987179 %	0.9557483 %	478303.3096790314
150	|	100	-1	dot
0.1239 %	0.07343 %	0.035963 %	0.0129951 %	2258.6236000061035
150	|	200	-1	dot
0.1663 %	0.10369 %	0.052699 %	0.0199524 %	2459.0437412261963
150	|	400	-1	dot
0.2348 %	0.14925 %	0.080207 %	0.0323737 %	3392.86470413208
150	|	1000	-1	dot
0.3508 %	0.23933 %	0.14038 %	0.0632796 %	5392.6708698272705
150	|	2000	-1	dot
0.4565 %	0.33024 %	0.207505 %	0.1027211 %	7788.857221603394
150	|	4000	-1	dot
0.5712 %	0.43752 %	0.295461 %	0.1617324 %	11820.947170257568
150	|	10000	-1	dot
0.7313 %	0.6019 %	0.446973 %	0.278302 %	23285.019636154175
150	|	20000	-1	dot
0.8374 %	0.72805 %	0.582746 %	0.399589 %	39235.031604766846
150	|	40000	-1	dot
0.9191 %	0.84144 %	0.723119 %	0.546105 %	69355.53884506226
150	|	100000	-1	dot
0.9776 %	0.94697 %	0.880799 %	0.7522073 %	150428.01642417908
150	|	200000	-1	dot
0.9951 %	0.98516 %	0.956117 %	0.8821098 %	259949.14960861206
150	|	400000	-1	dot
0.9994 %	0.99748 %	0.989995 %	0.9619386 %	476674.36170578003
200	|	100	-1	dot
0.1373 %	0.07724 %	0.037114 %	0.0134244 %	2526.423692703247
200	|	200	-1	dot
0.1804 %	0.1079 %	0.054414 %	0.020567 %	3103.222131729126
200	|	400	-1	dot
0.2481 %	0.15692 %	0.083791 %	0.0336838 %	3894.791603088379
200	|	1000	-1	dot
0.365 %	0.25046 %	0.146303 %	0.0656091 %	6085.124731063843
200	|	2000	-1	dot
0.4735 %	0.34424 %	0.215928 %	0.1062398 %	8417.337656021118
200	|	4000	-1	dot
0.597 %	0.45426 %	0.307535 %	0.1675518 %	12695.244312286377
200	|	10000	-1	dot
0.7486 %	0.61952 %	0.462688 %	0.2876631 %	24043.042182922363
200	|	20000	-1	dot
0.8492 %	0.7446 %	0.599046 %	0.4116459 %	40710.8678817749
200	|	40000	-1	dot
0.9249 %	0.85515 %	0.73809 %	0.5598552 %	71059.52143669128
200	|	100000	-1	dot
0.9812 %	0.95217 %	0.890758 %	0.7645449 %	152096.96912765503
200	|	200000	-1	dot
0.9964 %	0.9869 %	0.960971 %	0.890241 %	266443.0365562439
200	|	400000	-1	dot
