Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Metric
50	|	100	-1    euclidean
0.214 %	0.1354 %	0.062446 %	0.0176367 %	1154.7939777374268
50	|	200	-1    euclidean
0.2703 %	0.17633 %	0.086366 %	0.0258078 %	1442.5506591796875
50	|	400	-1    euclidean
0.3451 %	0.23694 %	0.12483 %	0.0406898 %	2168.5409545898438
50	|	1000	-1    euclidean
0.4598 %	0.33496 %	0.194141 %	0.0725012 %	4082.3354721069336
50	|	2000	-1    euclidean
0.5505 %	0.42072 %	0.261976 %	0.1094748 %	5886.326789855957
50	|	4000	-1    euclidean
0.6419 %	0.51227 %	0.340721 %	0.159219 %	10067.569971084595
50	|	10000	-1    euclidean
0.756 %	0.63785 %	0.46121 %	0.2487087 %	19488.430738449097
50	|	20000	-1    euclidean
0.8316 %	0.73019 %	0.560475 %	0.3351527 %	35090.48652648926
50	|	40000	-1    euclidean
0.8987 %	0.81618 %	0.664904 %	0.4391342 %	61948.96411895752
50	|	100000	-1    euclidean
0.9564 %	0.90962 %	0.799954 %	0.6004172 %	141409.21759605408
50	|	200000	-1    euclidean
0.9843 %	0.95885 %	0.888549 %	0.7304761 %	262009.15122032166
50	|	400000	-1    euclidean
0.9959 %	0.98616 %	0.951393 %	0.8480772 %	483906.28480911255
100	|	100	-1    euclidean
0.2379 %	0.14848 %	0.067766 %	0.0187352 %	1401.7252922058105
100	|	200	-1    euclidean
0.2961 %	0.19385 %	0.093808 %	0.0274594 %	1709.266185760498
100	|	400	-1    euclidean
0.3731 %	0.25635 %	0.133896 %	0.0427702 %	2524.580955505371
100	|	1000	-1    euclidean
0.4901 %	0.35931 %	0.208239 %	0.0762765 %	4583.564519882202
100	|	2000	-1    euclidean
0.5788 %	0.4462 %	0.278598 %	0.1145073 %	6557.855129241943
100	|	4000	-1    euclidean
0.6725 %	0.54062 %	0.360626 %	0.1664215 %	10508.625268936157
100	|	10000	-1    euclidean
0.7773 %	0.66386 %	0.482133 %	0.2581316 %	20584.81502532959
100	|	20000	-1    euclidean
0.8489 %	0.75328 %	0.581774 %	0.3468277 %	35983.15739631653
100	|	40000	-1    euclidean
0.9061 %	0.83506 %	0.684157 %	0.4516659 %	62807.65151977539
100	|	100000	-1    euclidean
0.9646 %	0.92108 %	0.813321 %	0.6107035 %	141876.50656700134
100	|	200000	-1    euclidean
0.9865 %	0.96497 %	0.89614 %	0.7366859 %	261840.11054039001
100	|	400000	-1    euclidean
0.9962 %	0.98863 %	0.954618 %	0.8498059 %	479069.420337677
150	|	100	-1    euclidean
0.2457 %	0.15525 %	0.070586 %	0.0192388 %	1845.9699153900146
150	|	200	-1    euclidean
0.3088 %	0.20245 %	0.097259 %	0.028147 %	1998.9397525787354
150	|	400	-1    euclidean
0.3908 %	0.26721 %	0.13905 %	0.0439499 %	2881.711483001709
150	|	1000	-1    euclidean
0.5086 %	0.37372 %	0.215466 %	0.0780979 %	5023.50926399231
150	|	2000	-1    euclidean
0.5995 %	0.46185 %	0.287212 %	0.1169227 %	7143.129587173462
150	|	4000	-1    euclidean
0.6885 %	0.55417 %	0.369616 %	0.1693711 %	11343.213319778442
150	|	10000	-1    euclidean
0.7932 %	0.67607 %	0.491703 %	0.2618891 %	21349.68066215515
150	|	20000	-1    euclidean
0.8563 %	0.76452 %	0.590465 %	0.3507283 %	36659.92188453674
150	|	40000	-1    euclidean
0.9134 %	0.8432 %	0.692041 %	0.4559127 %	62347.20301628113
150	|	100000	-1    euclidean
0.967 %	0.92716 %	0.819636 %	0.6140658 %	141599.98679161072
150	|	200000	-1    euclidean
0.9869 %	0.96753 %	0.899329 %	0.7382019 %	261640.4914855957
150	|	400000	-1    euclidean
0.9961 %	0.98943 %	0.955628 %	0.8489956 %	475062.3071193695
200	|	100	-1    euclidean
0.254 %	0.16103 %	0.072253 %	0.0196312 %	62370.2917098999
200	|	200	-1    euclidean
0.3138 %	0.20853 %	0.099619 %	0.0286434 %	3072.5178718566895
200	|	400	-1    euclidean
0.3961 %	0.27548 %	0.142745 %	0.0447186 %	3849.259853363037
200	|	1000	-1    euclidean
0.5198 %	0.38368 %	0.220885 %	0.0795407 %	5945.1282024383545
200	|	2000	-1    euclidean
0.6113 %	0.47259 %	0.29324 %	0.1186655 %	7931.099891662598
200	|	4000	-1    euclidean
0.6991 %	0.56517 %	0.377049 %	0.1715719 %	11829.52618598938
200	|	10000	-1    euclidean
0.8044 %	0.68643 %	0.499129 %	0.2645853 %	22065.946578979492
200	|	20000	-1    euclidean
0.8649 %	0.77158 %	0.597066 %	0.3533638 %	37739.970445632935
200	|	40000	-1    euclidean
0.9153 %	0.84874 %	0.697562 %	0.458034 %	65724.40195083618
200	|	100000	-1    euclidean
0.9645 %	0.92926 %	0.822364 %	0.6146926 %	144043.1571006775
200	|	200000	-1    euclidean
0.9879 %	0.96855 %	0.900904 %	0.7373469 %	257993.40677261353
200	|	400000	-1    euclidean
0.9979 %	0.98939 %	0.955661 %	0.8466311 %	464070.0387954712
250	|	100	-1    euclidean
0.2623 %	0.16464 %	0.074023 %	0.0199214 %	2238.1768226623535
250	|	200	-1    euclidean
0.3253 %	0.21298 %	0.101397 %	0.0289451 %	2585.2367877960205
250	|	400	-1    euclidean
0.4132 %	0.28328 %	0.145405 %	0.045417 %	3569.7684288024902
250	|	1000	-1    euclidean
0.5293 %	0.39022 %	0.223376 %	0.0801371 %	5850.305557250977
250	|	2000	-1    euclidean
0.6166 %	0.4787 %	0.296862 %	0.1194167 %	8187.22128868103
250	|	4000	-1    euclidean
0.7003 %	0.57003 %	0.379958 %	0.1722749 %	12352.031707763672
250	|	10000	-1    euclidean
0.8057 %	0.69026 %	0.502693 %	0.2655276 %	22681.721448898315
250	|	20000	-1    euclidean
0.8692 %	0.77475 %	0.60033 %	0.3542844 %	37969.90728378296
250	|	40000	-1    euclidean
0.9196 %	0.8517 %	0.699504 %	0.4587972 %	66173.25401306152
250	|	100000	-1    euclidean
0.9698 %	0.93104 %	0.823971 %	0.6153158 %	145365.30685424805
250	|	200000	-1    euclidean
0.9902 %	0.96953 %	0.90135 %	0.7370421 %	262026.76272392273
250	|	400000	-1    euclidean
0.9978 %	0.99012 %	0.955504 %	0.8454928 %	467309.3366622925
300	|	100	-1    euclidean
0.2675 %	0.16762 %	0.075418 %	0.0202335 %	2519.102096557617
300	|	200	-1    euclidean
0.3315 %	0.21625 %	0.102776 %	0.029287 %	2870.455026626587
300	|	400	-1    euclidean
0.4173 %	0.28706 %	0.147284 %	0.0458417 %	3965.789794921875
300	|	1000	-1    euclidean
0.5322 %	0.39497 %	0.226014 %	0.0808007 %	6210.654973983765
300	|	2000	-1    euclidean
0.6223 %	0.48519 %	0.300326 %	0.1203056 %	8655.608415603638
300	|	4000	-1    euclidean
0.7029 %	0.57565 %	0.383363 %	0.1732373 %	12758.979320526123
300	|	10000	-1    euclidean
0.808 %	0.69398 %	0.505772 %	0.2664191 %	23561.867475509644
300	|	20000	-1    euclidean
0.8719 %	0.7778 %	0.603261 %	0.3549789 %	38634.92250442505
300	|	40000	-1    euclidean
0.9205 %	0.854 %	0.701666 %	0.4591082 %	66486.79804801941
300	|	100000	-1    euclidean
0.9702 %	0.93176 %	0.825064 %	0.6148531 %	139516.099691391
300	|	200000	-1    euclidean
0.9896 %	0.9697 %	0.901337 %	0.7360172 %	245328.06181907654
300	|	400000	-1    euclidean
0.9976 %	0.99008 %	0.955359 %	0.8441783 %	445644.2503929138
400	|	100	-1    euclidean
0.2729 %	0.17301 %	0.077264 %	0.0205571 %	3084.3594074249268
400	|	200	-1    euclidean
0.3365 %	0.22191 %	0.105058 %	0.0297342 %	3440.264940261841
400	|	400	-1    euclidean
0.4209 %	0.29365 %	0.150185 %	0.0464072 %	4540.930271148682
400	|	1000	-1    euclidean
0.541 %	0.40193 %	0.229918 %	0.0816365 %	7043.144941329956
400	|	2000	-1    euclidean
0.6306 %	0.49195 %	0.304338 %	0.1212429 %	9564.241170883179
400	|	4000	-1    euclidean
0.7117 %	0.58334 %	0.387918 %	0.1742407 %	13664.698600769043
400	|	10000	-1    euclidean
0.8127 %	0.70108 %	0.509693 %	0.2673019 %	24593.692302703857
400	|	20000	-1    euclidean
0.8764 %	0.78295 %	0.606839 %	0.3557099 %	40031.094551086426
400	|	40000	-1    euclidean
0.924 %	0.85692 %	0.704656 %	0.4593506 %	67886.31010055542
400	|	100000	-1    euclidean
0.9712 %	0.93349 %	0.825718 %	0.6138106 %	140461.07530593872
400	|	200000	-1    euclidean
0.9895 %	0.97065 %	0.90167 %	0.7340026 %	248295.60542106628
400	|	400000	-1    euclidean
0.9974 %	0.99019 %	0.954909 %	0.8412694 %	447030.677318573
