Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Metric
50	|	100	-1    dot
0.3272 %	0.21396 %	0.110136 %	0.0393066 %	1226.0503768920898
50	|	200	-1    dot
0.4387 %	0.30488 %	0.167675 %	0.0634345 %	1612.4281883239746
50	|	400	-1    dot
0.5642 %	0.42303 %	0.252939 %	0.1036803 %	2325.533628463745
50	|	1000	-1    dot
0.7391 %	0.61156 %	0.415599 %	0.1964686 %	4163.509368896484
50	|	2000	-1    dot
0.8474 %	0.75492 %	0.567693 %	0.3066689 %	5673.875570297241
50	|	4000	-1    dot
0.925 %	0.87052 %	0.722136 %	0.4521675 %	9062.397241592407
50	|	10000	-1    dot
0.9776 %	0.96077 %	0.884363 %	0.6735036 %	17686.71441078186
50	|	20000	-1    dot
0.9903 %	0.98805 %	0.954635 %	0.8224644 %	30255.63359260559
50	|	40000	-1    dot
0.9928 %	0.99666 %	0.986907 %	0.9254124 %	51610.177755355835
50	|	100000	-1    dot
0.9935 %	0.99896 %	0.998548 %	0.9861644 %	107899.51372146606
50	|	200000	-1    dot
0.9935 %	0.99917 %	0.999733 %	0.9977068 %	191095.39318084717
50	|	400000	-1    dot
0.9935 %	0.99917 %	0.999854 %	0.9997347 %	342689.3548965454
100	|	100	-1    dot
0.347 %	0.22889 %	0.117625 %	0.041246 %	1641.141653060913
100	|	200	-1    dot
0.4644 %	0.32752 %	0.179057 %	0.0664766 %	2053.9066791534424
100	|	400	-1    dot
0.5996 %	0.45403 %	0.270797 %	0.1090705 %	2890.67006111145
100	|	1000	-1    dot
0.7748 %	0.64708 %	0.44183 %	0.2064462 %	5110.328674316406
100	|	2000	-1    dot
0.8818 %	0.78729 %	0.598294 %	0.3210221 %	6410.27569770813
100	|	4000	-1    dot
0.9442 %	0.89439 %	0.750472 %	0.4697351 %	10042.227029800415
100	|	10000	-1    dot
0.9835 %	0.97032 %	0.902273 %	0.6902305 %	18567.68846511841
100	|	20000	-1    dot
0.9914 %	0.99151 %	0.964101 %	0.8355487 %	31384.89270210266
100	|	40000	-1    dot
0.9929 %	0.99764 %	0.990171 %	0.9326023 %	53359.9328994751
100	|	100000	-1    dot
0.9935 %	0.99906 %	0.998887 %	0.9878249 %	109707.04984664917
100	|	200000	-1    dot
0.9935 %	0.99916 %	0.999777 %	0.9980243 %	190744.32492256165
100	|	400000	-1    dot
0.9935 %	0.99917 %	0.99986 %	0.9997684 %	338797.97530174255
150	|	100	-1    dot
0.3635 %	0.23931 %	0.12197 %	0.0422676 %	2095.7634449005127
150	|	200	-1    dot
0.4809 %	0.34112 %	0.18619 %	0.0683798 %	2543.5421466827393
150	|	400	-1    dot
0.6182 %	0.47146 %	0.281137 %	0.1120426 %	3448.3354091644287
150	|	1000	-1    dot
0.7939 %	0.66795 %	0.457297 %	0.2118288 %	5491.04118347168
150	|	2000	-1    dot
0.8936 %	0.80385 %	0.613502 %	0.3284124 %	7144.574880599976
150	|	4000	-1    dot
0.9527 %	0.90594 %	0.764727 %	0.4786628 %	10686.119794845581
150	|	10000	-1    dot
0.9848 %	0.97536 %	0.910482 %	0.6981466 %	19457.714796066284
