Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Metric
50	|	100	-1    euclidean
0.4233 %	0.2993 %	0.160713 %	0.160713 %	1301.210880279541
50	|	200	-1    euclidean
0.5254 %	0.39542 %	0.227258 %	0.227258 %	1648.2274532318115
50	|	400	-1    euclidean
0.6399 %	0.51331 %	0.322302 %	0.322302 %	2339.9899005889893
50	|	1000	-1    euclidean
0.7824 %	0.68297 %	0.48628 %	0.48628 %	4300.325632095337
50	|	2000	-1    euclidean
0.8642 %	0.79434 %	0.622209 %	0.622209 %	5441.455841064453
50	|	4000	-1    euclidean
0.9248 %	0.88118 %	0.749996 %	0.749997 %	8529.32620048523
50	|	10000	-1    euclidean
0.9669 %	0.95351 %	0.881739 %	0.881744 %	16018.879890441895
50	|	20000	-1    euclidean
0.9825 %	0.98067 %	0.94314 %	0.943159 %	27551.21636390686
50	|	40000	-1    euclidean
0.9889 %	0.99264 %	0.977032 %	0.977077 %	45540.50087928772
50	|	100000	-1    euclidean
0.9908 %	0.99788 %	0.99466 %	0.99474 %	95987.96081542969
50	|	200000	-1    euclidean
0.9912 %	0.99902 %	0.998469 %	0.99857 %	174059.27634239197
50	|	400000	-1    euclidean
0.9914 %	0.99937 %	0.999613 %	0.999722 %	315537.76121139526
100	|	100	-1    euclidean
0.4459 %	0.3156 %	0.168061 %	0.168061 %	1723.2563495635986
100	|	200	-1    euclidean
0.5529 %	0.41726 %	0.23875 %	0.23875 %	2106.2026023864746
100	|	400	-1    euclidean
0.6715 %	0.53896 %	0.33709 %	0.33709 %	2878.2896995544434
100	|	1000	-1    euclidean
0.812 %	0.70611 %	0.5024 %	0.5024 %	4833.702325820923
100	|	2000	-1    euclidean
0.888 %	0.8139 %	0.637539 %	0.637539 %	6140.475034713745
100	|	4000	-1    euclidean
0.9351 %	0.89331 %	0.76117 %	0.761171 %	9165.651082992554
100	|	10000	-1    euclidean
0.9707 %	0.95697 %	0.884794 %	0.884798 %	16392.446756362915
100	|	20000	-1    euclidean
0.9832 %	0.98189 %	0.943801 %	0.943821 %	27203.550577163696
100	|	40000	-1    euclidean
0.989 %	0.99283 %	0.975952 %	0.975989 %	44878.697872161865
100	|	100000	-1    euclidean
0.9908 %	0.99796 %	0.993902 %	0.993982 %	92423.36249351501
100	|	200000	-1    euclidean
0.9913 %	0.99893 %	0.998145 %	0.998246 %	165404.12831306458
100	|	400000	-1    euclidean
0.9914 %	0.99934 %	0.999481 %	0.99959 %	303718.16658973694
150	|	100	-1    euclidean
0.4574 %	0.32824 %	0.173627 %	0.173627 %	2255.2490234375
150	|	200	-1    euclidean
0.5704 %	0.43123 %	0.246086 %	0.246086 %	2661.7252826690674
150	|	400	-1    euclidean
0.6825 %	0.55274 %	0.345213 %	0.345213 %	3501.249074935913
150	|	1000	-1    euclidean
0.8198 %	0.71894 %	0.512303 %	0.512303 %	5537.396669387817
150	|	2000	-1    euclidean
0.8945 %	0.82239 %	0.64588 %	0.645881 %	6926.801443099976
150	|	4000	-1    euclidean
0.9398 %	0.89889 %	0.767232 %	0.767232 %	10223.500728607178
150	|	10000	-1    euclidean
0.9737 %	0.95954 %	0.887469 %	0.887473 %	17513.22841644287
150	|	20000	-1    euclidean
